block_number,block_hash,builder_pub_key,proposer_pub_key,fee_recipient,gas_tip
15756159,0xacef6d3f44651b5834a5d0e95f687d336d956c37cacc91c80a8bb96e65a9e003,0x8cc02635b68fe0e5eb6b236c92f117e764b347a09f4bda8198d74e120ac4865865f62c28b27cf9a30e213aa346263a1f,0x94fd361105cb2b70e0b0f55657bb33951a5f00dc58675eabd6625f2bacdac8083d6b65c28895673035b3fab44120a69d,0x388C818CA8B9251b393131C08a736A67ccB19297,-1
15755932,0x35226ff6455299913f707223b928e82d3505b3c53d0ad52376f303abd74d9137,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0x9189d1567e4fa1b631bd5cc74b9126f4834051ec59e0a38e1a781d3a519f98c899919e9c5b9315f1c062f06669fda0f4,0x388C818CA8B9251b393131C08a736A67ccB19297,-1
15755948,0x7993c1c54ad51e3d0692c46dea572d72146aa1600592cf6d94903290a4fdda00,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0x89ee429191b2bee603305bfd1fef445dca5ff650c63c937ef622fdd9dbdbcb312bced88f63b631e68d90f98fa7fd3836,0x388C818CA8B9251b393131C08a736A67ccB19297,-1
15755958,0xd01fe2a6a751b81da4ca360d826fd7c434f8c2d1d149ac4fbfb6ee895103be3d,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0x84ea9bf0349f22e016cdf395878c627de3d5c49470b893993a52005a656022d18f5f20586c70780d1641984498da4351,0x388C818CA8B9251b393131C08a736A67ccB19297,-1
15755967,0x7cb9944b9a2267cad32bc8dc0555b462f356bfbce2902bf54b3ac1f154eed38b,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0xaed9b76e8901f7cdc2629c4cf4f8e255a00c58e842d23875306ecd60fe0d224452ce73e26ecf87c62e61828c27fae13b,0x388C818CA8B9251b393131C08a736A67ccB19297,-1
15755968,0x0f1e69ef72ac567b2d27e152a1d1868bd69d53f9f7b0e97e0e4d5f4171fa31e8,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0x80b5149110aaa37fb5188bebeda7fa99696238fe78c5d91212c74c2b020aede4b2014f6e1e901335bb68d6a2538313fc,0x388C818CA8B9251b393131C08a736A67ccB19297,-1
15755969,0x9ad9664703db1b2039e96faaf25bd91a353b481da2afb3c3e0eb723c19115edc,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0x984b1ba827737cedf88b85df027635b9d23a873208d770ae079dc20d56d440fdc146ec5856219622869b2771d48dc7b5,0x388C818CA8B9251b393131C08a736A67ccB19297,-1
15755993,0x92977c18ebfab0805e08ac0962dad2dcbeec2b3a76a0f7b25600b2426bb81045,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0x96aa2d0415ef80f2decb104a051535a01b09eb2bc79fb0fb5d8e616cb24a8eb1a7c7bf0cdbac69a89c2cf3173b6ac800,0x388C818CA8B9251b393131C08a736A67ccB19297,-1
15756051,0xee5e581cbbb492de9210e2ae6460256e86156c53e8f4dcaef2de42ffc586983e,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0xa34a6a0f14d98890d8d7473dabfa6429da2f820f4819d7f357e9373220980a3345c9133ddccd65fcdee6bb23e4f03441,0x572F27cF5Bd03719D9588964C907a908877894AE,-1
15755994,0x9b780381fee8c1fb2229b2430802361defcee13acb1ea2a3dc07f80997483502,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0x942130c73009eaffb0d74201643727fc2ccd6f8ba7bee730647c99648d9476814becb7d1d24de7b0516f38813f6eae75,0x388C818CA8B9251b393131C08a736A67ccB19297,-1
15756034,0x631d704a28b4e0d6852422038892de574d579f13f90b5bee2af4b5572bae1b0f,0x973377ac7a3f365cd7551f6fe0c08d986089451304ef06d20bad594c88724127cbb4442929949ce2277a1cde4c19574a,0xa0c1ed0fb5a3eabefb42556ae901dfd0197369378c384ef86da3faaa2079d61d23c51ae859a70017caffde89afa877ae,0xfFEE087852cb4898e6c3532E776e68BC68b1143B,-1
